Fragment,Type,Fragment Mass,Glycan
Hex1-B,B,218.115423685999,23000
Y-HexNAc1-B,BY,245.126322723,23000
Y-HexNAc1-redEnd,Y,293.183837601,23000
Y-Hex2-B,BY,408.199547244,23000
Y-HexNAc2-redEnd,Y,538.310160324,23000
Hex3-B,B,626.31497093,23000
Y-Hex2HexNAc1-B,BY,653.325869967,23000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,23000
Hex3HexNAc1-B,B,871.441293653,23000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,23000
Hex3HexNAc2-redEnd,NA,1164.62513125399,23000
Y-Hex1-B,BY,204.099773622,24000
Hex1-B,B,218.115423685999,24000
Y-HexNAc1-B,BY,245.126322723,24000
Y-HexNAc1-redEnd,Y,293.183837601,24000
Y-Hex2-B,BY,408.199547244,24000
Hex2-B,B,422.215197308,24000
Y-HexNAc2-redEnd,Y,538.310160324,24000
Y-Hex3-B,BY,612.299320866,24000
Y-Hex3-B,BY,612.299320866,24000
Y-Hex2HexNAc1-B,BY,653.325869967,24000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,24000
Hex4-B,B,830.414744552,24000
Y-Hex3HexNAc1-B,BY,857.425643589,24000
Y-Hex3HexNAc1-B,BY,857.425643589,24000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,24000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,24000
Hex4HexNAc1-B,B,1075.541067275,24000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,24000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,24000
Hex4HexNAc2-redEnd,NA,1368.72490487599,24000
Y-Hex1-B,BY,204.099773622,25000
Hex1-B,B,218.115423685999,25000
Y-HexNAc1-B,BY,245.126322723,25000
Y-HexNAc1-redEnd,Y,293.183837601,25000
Y-Hex2-B,BY,408.199547244,25000
Hex2-B,B,422.215197308,25000
Y-HexNAc2-redEnd,Y,538.310160324,25000
Y-Hex3-B,BY,612.299320866,25000
Y-Hex3-B,BY,612.299320866,25000
Y-Hex2HexNAc1-B,BY,653.325869967,25000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,25000
Hex4-B,B,830.414744552,25000
Y-Hex3HexNAc1-B,BY,857.425643589,25000
Y-Hex3HexNAc1-B,BY,857.425643589,25000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,25000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,25000
